district,dvotes,rvotes
1,15561,7780
2,24820,12786
3,24820,12786
4,14311,17272
5,13538,24068
6,24820,12786
7,12165,11634
8,14747,12373
9,24820,12786
10,24820,12786
11,11852,18163
12,15979,13246
13,8167,18566
14,24820,12786
15,13581,16152
16,7972,17652
17,7826,16043
18,6287,20055
19,14895,15236
20,10432,15398
21,7140,13275
22,5624,19254
23,6642,15829
24,14648,29297
25,6948,19273
26,9980,11067
27,24820,12786
28,13538,24068
29,13538,24068
30,10551,15997
31,7952,15274
32,7417,22112
33,13538,24068
34,12516,6533
35,15643,14129
36,14782,10405
37,12592,22403
38,9311,18623
39,12640,23591
40,13538,24068
41,5238,18500
42,11434,14901
43,24820,12786
44,8073,17927
45,13538,24068
46,9369,17333
47,8059,22240
48,7438,14710
49,13538,24068
50,7181,19561
51,13538,24068
52,7009,21016
53,6780,19964
54,8863,17726
55,6295,20302
56,9125,14463
57,13538,24068
58,9616,19213
59,10205,16118
60,10882,18885
61,15608,7804
62,11589,16724
63,7570,19228
64,13538,24068
65,10871,18290
66,15939,10484
67,6101,20492
68,7457,22451
69,13538,24068
70,11020,20966
71,18728,9364
72,13511,18092
73,6992,18722
74,11156,16538
75,9429,21146
76,13538,24068
77,12616,8614
78,9704,19208
79,13538,24068
80,24820,12786
81,8938,13925
82,5863,17833
83,13538,24068
84,10544,20559
85,7006,19198
86,22285,12049
87,17485,15982
88,13059,24550
89,11367,13683
90,9515,19019
91,13538,24068
92,14000,8973
93,8923,18407
94,24820,12786
95,18044,9022
96,24820,12786
97,9834,6300
98,16354,3747
99,24820,12786
100,14110,7055
